maand,trades,pnl,wins,wr,pct,variant,versie
2026-01,15,632.16,10,66.66666666666667,0.39509999999999995,V16-Balanced,v16
2026-02,9,-573.22,6,66.66666666666667,-0.35826250000000004,V16-Balanced,v16
2026-03,12,4470.33,8,66.66666666666667,2.79395625,V16-Balanced,v16
2026-04,20,24444.940000000002,13,65.0,15.278087500000002,V16-Balanced,v16
2026-05,7,2097.39,3,42.857142857142854,1.3108687499999998,V16-Balanced,v16
2024-11,7,-134.68000000000006,3,42.857142857142854,-0.08417500000000004,V16-Conservative,v16
2024-12,16,8265.58,7,43.75,5.1659875,V16-Conservative,v16
2025-01,8,-994.17,2,25.0,-0.6213562499999999,V16-Conservative,v16
2025-02,16,-2159.29,2,12.5,-1.34955625,V16-Conservative,v16
2025-03,8,2869.9,3,37.5,1.7936875,V16-Conservative,v16
2025-04,12,3352.91,8,66.66666666666667,2.09556875,V16-Conservative,v16
2025-05,12,-711.25,5,41.666666666666664,-0.44453124999999993,V16-Conservative,v16
2025-06,4,-621.45,0,0.0,-0.38840625000000006,V16-Conservative,v16
2025-07,3,-339.51,0,0.0,-0.21219375000000001,V16-Conservative,v16
2025-08,12,4520.84,5,41.666666666666664,2.8255250000000003,V16-Conservative,v16
2025-09,17,4824.85,3,17.647058823529413,3.0155312500000004,V16-Conservative,v16
2025-10,15,3070.58,7,46.666666666666664,1.9191125,V16-Conservative,v16
2025-11,5,151.18,3,60.0,0.0944875,V16-Conservative,v16
2025-12,6,-1234.96,0,0.0,-0.77185,V16-Conservative,v16
2026-01,12,291.39000000000004,8,66.66666666666667,0.18211875000000002,V16-Conservative,v16
2026-02,4,-384.67999999999995,2,50.0,-0.24042499999999997,V16-Conservative,v16
2026-03,12,1922.96,9,75.0,1.2018499999999999,V16-Conservative,v16
2026-04,10,-620.81,6,60.0,-0.38800625,V16-Conservative,v16
2026-05,7,-859.23,3,42.857142857142854,-0.53701875,V16-Conservative,v16
