in,uit,rich,entry,exit,pnl,result,type,variant,versie
2024-12-30 11:00:00+00:00,2024-12-30 12:00:00+00:00,-1,2629.5,2633.47,-385.89,SL,C_MOMENTUM,V16-Balanced,v16
2025-01-08 13:00:00+00:00,2025-01-08 14:00:00+00:00,1,2674.8,2681.79,173.26,TP1,B_MACDCROSS,V16-Balanced,v16
2025-01-08 13:00:00+00:00,2025-01-08 15:00:00+00:00,1,2674.8,2675.03,13.48,SL,B_MACDCROSS,V16-Balanced,v16
2025-01-09 11:00:00+00:00,2025-01-09 13:00:00+00:00,1,2687.3,2694.16,173.45,TP1,B_MACDCROSS,V16-Balanced,v16
2025-01-09 11:00:00+00:00,2025-01-09 14:00:00+00:00,1,2687.3,2687.53,13.49,SL,B_MACDCROSS,V16-Balanced,v16
2025-01-15 14:00:00+00:00,2025-01-15 15:00:00+00:00,1,2704.3,2699.96,-303.18,SL,D_PULLBACK,V16-Balanced,v16
2025-01-15 16:00:00+00:00,2025-01-15 18:00:00+00:00,1,2712.0,2719.42,173.33,TP1,C_MOMENTUM,V16-Balanced,v16
2025-01-15 16:00:00+00:00,2025-01-16 00:00:00+00:00,1,2712.0,2725.85,6471.12,TP2,C_MOMENTUM,V16-Balanced,v16
2025-01-15 16:00:00+00:00,2025-01-16 09:00:00+00:00,1,2712.0,2734.26,13866.69,TP3,C_MOMENTUM,V16-Balanced,v16
2025-01-17 15:00:00+00:00,2025-01-17 16:00:00+00:00,1,2749.9,2756.77,303.14,TP1,A_EMACROSS,V16-Balanced,v16
2025-01-17 15:00:00+00:00,2025-01-17 18:00:00+00:00,1,2749.9,2750.13,471.55,SL,A_EMACROSS,V16-Balanced,v16
2025-01-21 14:00:00+00:00,2025-01-21 15:00:00+00:00,1,2753.9,2749.08,-676.35,SL,A_EMACROSS,V16-Balanced,v16
2025-01-21 16:00:00+00:00,2025-01-22 01:00:00+00:00,1,2758.1,2764.51,218.37,TP1,E_BOS,V16-Balanced,v16
2025-01-21 16:00:00+00:00,2025-01-22 05:00:00+00:00,1,2758.1,2771.4,9058.37,TP2,E_BOS,V16-Balanced,v16
2025-01-21 16:00:00+00:00,2025-01-23 09:00:00+00:00,1,2758.1,2758.34,215.68,SL,E_BOS,V16-Balanced,v16
2025-01-24 15:00:00+00:00,2025-01-24 16:00:00+00:00,1,2782.6,2778.05,-444.53,SL,D_PULLBACK,V16-Balanced,v16
2025-01-28 14:00:00+00:00,2025-01-28 16:00:00+00:00,1,2758.4,2765.98,317.54,TP1,A_EMACROSS,V16-Balanced,v16
2025-01-28 14:00:00+00:00,2025-01-28 18:00:00+00:00,1,2758.4,2772.56,1481.87,TP2,A_EMACROSS,V16-Balanced,v16
2025-01-28 14:00:00+00:00,2025-01-30 07:00:00+00:00,1,2758.4,2781.15,3175.44,TP3,A_EMACROSS,V16-Balanced,v16
2025-01-31 16:00:00+00:00,2025-01-31 17:00:00+00:00,1,2849.7,2836.78,-454.5,SL,D_PULLBACK,V16-Balanced,v16
2025-02-03 12:00:00+00:00,2025-02-03 13:00:00+00:00,1,2847.5,2834.02,-721.47,SL,A_EMACROSS,V16-Balanced,v16
2025-02-03 15:00:00+00:00,2025-02-03 16:00:00+00:00,1,2854.8,2839.99,-575.16,SL,C_MOMENTUM,V16-Balanced,v16
2025-02-04 13:00:00+00:00,2025-02-04 14:00:00+00:00,1,2859.7,2846.1,-358.47,SL,A_EMACROSS,V16-Balanced,v16
2025-02-04 15:00:00+00:00,2025-02-04 16:00:00+00:00,1,2863.9,2849.69,-179.94,SL,F_MSS,V16-Balanced,v16
2025-02-05 07:00:00+00:00,2025-02-05 08:00:00+00:00,1,2890.5,2877.75,-228.82,SL,B_MACDCROSS,V16-Balanced,v16
2025-02-05 13:00:00+00:00,2025-02-05 14:00:00+00:00,1,2883.7,2870.7,-179.58,SL,D_PULLBACK,V16-Balanced,v16
2025-02-07 09:00:00+00:00,2025-02-07 10:00:00+00:00,1,2892.5,2880.04,-228.36,SL,E_BOS,V16-Balanced,v16
2025-02-07 14:00:00+00:00,2025-02-07 15:00:00+00:00,1,2900.3,2887.32,-228.1,SL,E_BOS,V16-Balanced,v16
2025-02-12 16:00:00+00:00,2025-02-12 17:00:00+00:00,1,2929.6,2916.65,-227.85,SL,E_BOS,V16-Balanced,v16
2025-02-13 14:00:00+00:00,2025-02-13 15:00:00+00:00,1,2942.9,2930.49,-178.82,SL,D_PULLBACK,V16-Balanced,v16
2025-02-13 16:00:00+00:00,2025-02-13 17:00:00+00:00,1,2941.6,2929.22,-178.67,SL,D_PULLBACK,V16-Balanced,v16
2025-02-14 10:00:00+00:00,2025-02-14 13:00:00+00:00,1,2960.6,2949.14,-178.51,SL,D_PULLBACK,V16-Balanced,v16
2025-02-18 13:00:00+00:00,2025-02-18 16:00:00+00:00,1,2933.6,2949.33,91.93,TP1,E_BOS,V16-Balanced,v16
2025-02-18 13:00:00+00:00,2025-02-18 17:00:00+00:00,1,2933.6,2934.18,7.94,SL,E_BOS,V16-Balanced,v16
2025-02-19 09:00:00+00:00,2025-02-19 10:00:00+00:00,1,2962.6,2951.58,-454.21,SL,B_MACDCROSS,V16-Balanced,v16
2025-02-20 07:00:00+00:00,2025-02-20 08:00:00+00:00,1,2967.3,2957.4,-453.19,SL,E_BOS,V16-Balanced,v16
