side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,atr,pnl,gross_pnl,exit_reason,bars_held,entry_date,month
short,2026-01-20 08:09:00,2026-01-20 08:28:00,2850.041045304363,2860.7823415032253,2860.7823415032253,2828.558452906638,158.25597847699373,7.160864132574908,-1700.4743400622028,-1699.874340062203,SL,19,2026-01-20,2026-01
short,2026-01-20 09:12:00,2026-01-20 09:27:00,2848.040641139117,2862.094320494874,2862.094320494874,2819.9332824276025,119.74583694854076,9.369119570504685,-1683.4695966615677,-1682.8695966615678,SL,15,2026-01-20,2026-01
short,2026-01-21 04:22:00,2026-01-21 05:19:00,2850.260227408509,2867.0792603727436,2867.0792603727436,2816.6221614800397,99.0565215156981,11.212688642823055,-1666.6349006949592,-1666.0349006949593,SL,57,2026-01-21,2026-01
short,2026-01-21 06:03:00,2026-01-21 06:35:00,2849.2291595933457,2824.333699861126,2861.676889459455,2824.333699861126,132.50356245106016,8.298486577406445,3298.1371033759974,3298.7371033759973,TP,32,2026-01-21,2026-01
short,2026-01-22 05:50:00,2026-01-22 06:04:00,2835.125849188953,2846.526947852542,2846.526947852542,2812.3236518617755,147.5603336452645,7.600732442392562,-1682.9499227217693,-1682.3499227217694,SL,14,2026-01-22,2026-01
short,2026-01-22 07:33:00,2026-01-22 08:22:00,2818.557934068475,2793.0731128250977,2831.3003446901635,2793.0731128250977,130.7068554720481,8.49494041445901,3330.4408469890786,3331.0408469890785,TP,49,2026-01-22,2026-01
short,2026-01-23 03:38:00,2026-01-23 03:42:00,2766.6309336838276,2780.28100339217,2780.28100339217,2739.330794267142,124.45539607216283,9.100046472228463,-1699.4248319643943,-1698.8248319643944,SL,4,2026-01-23,2026-01
short,2026-01-23 08:01:00,2026-01-23 08:55:00,2769.1394719870327,2745.9465895716576,2780.73591319472,2745.9465895716576,145.02988921548285,7.730960805125,3363.061167289579,3363.6611672895788,TP,54,2026-01-23,2026-01
short,2026-01-26 05:04:00,2026-01-26 05:31:00,2744.983662969885,2756.8230297232813,2756.8230297232813,2721.304929463092,144.89467477857673,7.892911168930974,-1716.061195317674,-1715.461195317674,SL,27,2026-01-26,2026-01
short,2026-01-26 05:53:00,2026-01-26 06:32:00,2745.0434824595686,2759.0686399192377,2759.0686399192377,2716.9931675402304,121.08959120410219,9.350104973112742,-1698.9005833644976,-1698.3005833644977,SL,39,2026-01-26,2026-01
short,2026-01-26 08:24:00,2026-01-26 08:43:00,2705.3281868475738,2682.746340415729,2716.619110063496,2682.746340415729,148.9082465072355,7.527282143948317,3362.0231550617045,3362.6231550617044,TP,19,2026-01-26,2026-01
short,2026-01-27 03:26:00,2026-01-27 03:58:00,2695.5918938171717,2711.156152045148,2711.156152045148,2664.463377361219,110.18397304658738,10.376172151984216,-1715.5318090814442,-1714.9318090814443,SL,32,2026-01-27,2026-01
short,2026-01-27 03:59:00,2026-01-27 04:12:00,2687.511626138538,2707.352687535294,2707.352687535294,2647.829503345026,85.56883409817166,13.22737426450402,-1698.376490990672,-1697.776490990672,SL,13,2026-01-27,2026-01
short,2026-01-27 05:11:00,2026-01-27 06:41:00,2676.0408807595077,2663.2853721742486,2689.076392156711,2649.9698579651013,128.93953101382527,8.690340931468766,1644.0892948261333,1644.6892948261332,Timeout,90,2026-01-27,2026-01
short,2026-01-27 07:51:00,2026-01-27 08:31:00,2660.960067390312,2630.384972969742,2676.2476146005965,2630.384972969742,111.02066248319943,10.19169814018989,3393.867238058024,3394.467238058024,TP,40,2026-01-27,2026-01
